Model,Dataset,Total Prompt Tokens,Avg Prompt Tokens,All Prompt Tokens,Cold Start TTFT (s),Avg TTFT (s),All TTFTs (s),Avg Prefill TPS,Avg Decode TPS,All Decode TPS,Dataset Peak Memory (MB)
gemma-4-E2B-it-Q5_K_M.gguf,MMLU,2739,136.95,"100, 177, 225, 256, 83, 143, 179, 94, 107, 198, 114, 98, 188, 85, 135, 143, 103, 89, 97, 125",1.402816914000141,4.47950613949979,"3.361, 6.162, 7.517, 8.937, 2.545, 4.612, 6.188, 2.887, 3.164, 6.650, 3.732, 3.038, 6.216, 2.653, 4.337, 4.605, 3.230, 2.857, 2.973, 3.923",31.026466072779424,5.311246777841745,"5.32, 5.32, 5.32, 5.28, 5.30, 5.32, 5.32, 5.30, 5.30, 5.29, 5.36, 5.36, 5.34, 5.36, 5.24, 5.21, 5.36, 5.34, 5.33, 5.29",4895.625
gemma-4-E2B-it-Q5_K_M.gguf,ARC,2023,101.15,"87, 104, 94, 112, 138, 133, 129, 101, 123, 73, 81, 84, 96, 89, 62, 75, 121, 105, 119, 97",-,3.2074682297494292,"2.774, 3.293, 2.934, 3.689, 4.430, 4.358, 4.070, 3.112, 3.913, 2.132, 2.458, 2.838, 3.027, 2.705, 1.797, 2.303, 3.958, 3.417, 3.821, 3.121",31.730171354287176,5.336074138412825,"5.34, 5.36, 5.35, 5.33, 5.34, 5.34, 5.33, 5.34, 5.35, 5.35, 5.33, 5.35, 5.35, 5.34, 5.33, 5.31, 5.32, 5.30, 5.34, 5.32",4957.03125
gemma-4-E2B-it-Q5_K_M.gguf,GSM8K,1958,97.9,"101, 63, 94, 71, 148, 91, 77, 106, 141, 96, 97, 98, 103, 96, 94, 131, 90, 95, 64, 102",-,3.041381300399371,"3.308, 1.789, 2.815, 2.067, 4.751, 2.752, 2.344, 3.230, 4.554, 3.128, 3.027, 3.267, 3.250, 2.969, 2.828, 4.144, 2.699, 2.912, 1.872, 3.123",32.439201840588645,5.1907154296071925,"5.34, 5.35, 5.21, 5.19, 5.16, 5.18, 5.14, 5.16, 5.16, 5.17, 5.17, 5.06, 5.16, 5.15, 5.40, 5.13, 5.16, 5.18, 5.18, 5.17",4975.375
gemma-4-E2B-it-Q5_K_M.gguf,HumanEval,2659,132.95,"158, 148, 111, 150, 146, 126, 145, 126, 147, 131, 178, 112, 133, 99, 86, 101, 98, 207, 121, 136",-,3.9974271262504772,"5.202, 4.726, 3.294, 4.610, 4.328, 3.570, 4.212, 3.587, 4.347, 3.667, 5.947, 3.333, 3.813, 2.909, 2.427, 2.914, 2.709, 6.644, 3.630, 4.079",33.62919021537964,5.164118466932199,"5.28, 5.17, 5.18, 5.16, 5.14, 5.15, 5.14, 5.17, 5.14, 5.13, 5.20, 5.16, 5.14, 5.17, 5.16, 5.15, 5.18, 5.13, 5.15, 5.19",4956.046875
gemma-4-E2B-it-Q4_K_M.gguf,MMLU,2739,136.95,"100, 177, 225, 256, 83, 143, 179, 94, 107, 198, 114, 98, 188, 85, 135, 143, 103, 89, 97, 125",0.9218937790064956,3.778196637599831,"2.724, 4.964, 6.449, 7.421, 2.174, 3.957, 5.060, 2.500, 2.724, 5.612, 3.084, 2.603, 5.346, 2.203, 3.731, 3.958, 2.770, 2.318, 2.574, 3.391",36.719564825315175,6.373479239034791,"6.32, 6.36, 6.38, 6.34, 6.37, 6.42, 6.55, 6.30, 6.36, 6.35, 6.34, 6.41, 6.37, 6.36, 6.35, 6.42, 6.35, 6.42, 6.24, 6.46",4587.34375
gemma-4-E2B-it-Q4_K_M.gguf,ARC,2023,101.15,"87, 104, 94, 112, 138, 133, 129, 101, 123, 73, 81, 84, 96, 89, 62, 75, 121, 105, 119, 97",-,2.708289962699928,"2.328, 2.823, 2.488, 3.050, 3.813, 3.652, 3.526, 2.682, 3.362, 1.846, 2.083, 2.225, 2.586, 2.320, 1.529, 1.944, 3.278, 2.796, 3.262, 2.574",37.57968855322842,6.352473200038303,"6.35, 6.35, 6.35, 6.35, 6.35, 6.35, 6.33, 6.37, 6.34, 6.36, 6.35, 6.38, 6.37, 6.36, 6.34, 6.32, 6.39, 6.35, 6.36, 6.36",4647.953125
gemma-4-E2B-it-Q4_K_M.gguf,GSM8K,1958,97.9,"101, 63, 94, 71, 148, 91, 77, 106, 141, 96, 97, 98, 103, 96, 94, 131, 90, 95, 64, 102",-,2.5840784560004977,"2.778, 1.532, 2.436, 1.771, 4.085, 2.366, 1.995, 2.796, 3.910, 2.534, 2.583, 2.573, 2.724, 2.534, 2.436, 3.564, 2.319, 2.487, 1.577, 2.680",38.18039328470325,6.408739645261269,"6.38, 6.41, 6.41, 6.41, 6.40, 6.41, 6.38, 6.41, 6.39, 6.39, 6.39, 6.27, 6.39, 6.40, 6.77, 6.39, 6.41, 6.40, 6.41, 6.37",4683.96875
gemma-4-E2B-it-Q4_K_M.gguf,HumanEval,2659,132.95,"158, 148, 111, 150, 146, 126, 145, 126, 147, 131, 178, 112, 133, 99, 86, 101, 98, 207, 121, 136",-,3.386649080099596,"4.474, 3.680, 2.820, 3.967, 3.661, 3.056, 3.610, 3.054, 3.726, 3.133, 4.815, 2.797, 3.281, 2.470, 2.058, 2.486, 2.323, 5.713, 3.084, 3.526",39.63955341034555,6.3931044124406196,"6.35, 6.47, 6.40, 6.38, 6.38, 6.38, 6.37, 6.41, 6.37, 6.38, 6.32, 6.39, 6.38, 6.41, 6.41, 6.41, 6.45, 6.37, 6.39, 6.44",4683.96875
gemma-4-E2B-it-Q3_K_M.gguf,MMLU,2739,136.95,"100, 177, 225, 256, 83, 143, 179, 94, 107, 198, 114, 98, 188, 85, 135, 143, 103, 89, 97, 125",1.130448752999655,7.030319949649129,"5.043, 9.322, 11.980, 13.806, 3.987, 7.374, 9.420, 4.610, 5.055, 10.490, 5.727, 4.830, 9.932, 4.103, 6.922, 7.396, 5.131, 4.322, 4.796, 6.361",19.750518857539088,7.583978215258507,"7.70, 7.72, 7.74, 7.63, 7.67, 7.58, 7.59, 7.66, 7.65, 7.68, 7.68, 7.66, 7.46, 7.42, 7.51, 7.52, 7.43, 7.44, 7.43, 7.52",3107.40625
gemma-4-E2B-it-Q3_K_M.gguf,ARC,2023,101.15,"87, 104, 94, 112, 138, 133, 129, 101, 123, 73, 81, 84, 96, 89, 62, 75, 121, 105, 119, 97",-,5.011976095550926,"4.247, 5.175, 4.607, 5.626, 7.089, 6.795, 6.574, 4.994, 6.235, 3.408, 3.864, 4.057, 4.738, 4.309, 2.796, 3.540, 6.119, 5.212, 6.032, 4.825",20.33171152934499,7.633359548199967,"7.68, 7.62, 7.67, 7.69, 7.68, 7.71, 7.69, 7.67, 7.70, 7.70, 7.56, 7.70, 7.68, 7.65, 7.66, 7.66, 7.48, 7.66, 7.43, 7.39",3168.234375
