Model,Dataset,Total Prompt Tokens,Avg Prompt Tokens,All Prompt Tokens,Cold Start TTFT (s),Avg TTFT (s),All TTFTs (s),Avg Prefill TPS,Avg Decode TPS,All Decode TPS,Dataset Peak Memory (MB)
llama3.2-3b-q5_k_m.gguf,MMLU,3038,151.9,"119, 193, 227, 262, 98, 159, 201, 109, 119, 211, 134, 112, 199, 106, 149, 161, 114, 109, 116, 140",1.065501770000992,5.04565687359991,"3.701, 6.686, 8.273, 9.604, 2.841, 5.388, 7.021, 3.199, 3.462, 7.543, 4.299, 3.511, 7.048, 3.136, 4.854, 5.360, 3.464, 3.200, 3.667, 4.656",30.965047536838547,4.372826109986912,"4.36, 4.36, 4.38, 4.40, 4.39, 4.39, 4.39, 4.39, 4.38, 4.37, 4.37, 4.38, 4.38, 4.34, 4.38, 4.38, 4.29, 4.37, 4.37, 4.38",4876.09375
llama3.2-3b-q5_k_m.gguf,ARC,2376,118.8,"108, 123, 115, 132, 152, 155, 152, 117, 141, 92, 104, 98, 108, 104, 81, 81, 135, 125, 141, 112",-,3.7146879397499104,"3.371, 3.892, 3.564, 4.322, 5.158, 5.220, 5.159, 3.542, 4.518, 2.674, 3.179, 2.798, 3.340, 3.179, 2.051, 2.052, 4.392, 3.855, 4.517, 3.509",32.587721113280665,4.362488797912862,"4.36, 4.36, 4.36, 4.36, 4.37, 4.37, 4.37, 4.35, 4.35, 4.38, 4.36, 4.35, 4.36, 4.36, 4.36, 4.37, 4.38, 4.37, 4.36, 4.36",4906.140625
llama3.2-3b-q5_k_m.gguf,GSM8K,2273,113.65,"118, 81, 104, 89, 163, 109, 96, 120, 156, 112, 113, 116, 121, 112, 104, 145, 105, 107, 83, 119",-,3.52752199869974,"3.577, 2.192, 3.072, 2.515, 5.455, 3.358, 2.783, 3.809, 5.315, 3.476, 3.582, 3.636, 3.914, 3.476, 3.135, 4.927, 3.245, 3.193, 2.183, 3.708",32.71374467962652,4.276137781287131,"4.42, 4.38, 4.42, 4.24, 4.26, 4.26, 4.25, 4.25, 4.25, 4.22, 4.25, 4.25, 4.25, 4.25, 4.25, 4.25, 4.25, 4.26, 4.28, 4.28",4925.140625
llama3.2-3b-q5_k_m.gguf,HumanEval,2814,140.7,"164, 155, 125, 159, 157, 132, 152, 133, 150, 140, 182, 116, 142, 110, 99, 108, 110, 207, 128, 145",-,4.326351177799916,"5.554, 4.710, 3.809, 5.113, 4.920, 3.811, 4.644, 3.919, 4.641, 3.931, 6.264, 3.366, 4.297, 3.246, 2.588, 3.038, 3.034, 7.137, 3.864, 4.641",33.069271348458194,4.27448759253226,"4.29, 4.28, 4.28, 4.28, 4.28, 4.28, 4.27, 4.28, 4.28, 4.28, 4.26, 4.28, 4.28, 4.28, 4.27, 4.28, 4.28, 4.23, 4.27, 4.28",4925.140625
llama3.2-3b-q4_k_m.gguf,MMLU,3038,151.9,"119, 193, 227, 262, 98, 159, 201, 109, 119, 211, 134, 112, 199, 106, 149, 161, 114, 109, 116, 140",0.8868452320002689,4.209859542049889,"3.096, 5.573, 6.812, 7.980, 2.319, 4.590, 5.839, 2.674, 2.871, 6.265, 3.566, 2.926, 5.897, 2.604, 4.046, 4.506, 2.871, 2.690, 3.106, 3.964",37.10872554302635,4.915752954216595,"5.00, 4.62, 5.00, 4.99, 4.99, 4.97, 4.95, 4.94, 4.96, 4.96, 4.96, 4.94, 4.98, 4.94, 4.92, 4.95, 4.93, 4.96, 4.76, 4.62",4301.59375
llama3.2-3b-q4_k_m.gguf,ARC,2376,118.8,"108, 123, 115, 132, 152, 155, 152, 117, 141, 92, 104, 98, 108, 104, 81, 81, 135, 125, 141, 112",-,3.125361771849839,"2.809, 3.242, 2.960, 3.605, 4.302, 4.343, 4.301, 2.951, 3.768, 2.257, 2.711, 2.366, 2.848, 2.711, 1.754, 1.755, 3.725, 3.274, 3.836, 2.989",38.65446048887567,4.853232190774311,"4.95, 4.94, 4.96, 4.95, 4.97, 4.95, 4.96, 4.97, 4.95, 4.79, 4.77, 4.76, 4.77, 4.77, 4.77, 4.75, 4.77, 4.76, 4.78, 4.78",4331.5
llama3.2-3b-q4_k_m.gguf,GSM8K,2273,113.65,"118, 81, 104, 89, 163, 109, 96, 120, 156, 112, 113, 116, 121, 112, 104, 145, 105, 107, 83, 119",-,2.9488227715001814,"3.022, 1.860, 2.599, 2.172, 4.567, 2.844, 2.329, 3.169, 4.415, 2.885, 2.988, 3.016, 3.266, 2.887, 2.609, 4.099, 2.710, 2.653, 1.813, 3.074",39.08902396337747,4.855053285061921,"4.87, 4.79, 4.83, 4.83, 4.87, 4.87, 4.87, 4.87, 4.87, 4.87, 4.87, 4.87, 4.87, 4.86, 4.86, 4.86, 4.85, 4.81, 4.85, 4.85",4350.578125
llama3.2-3b-q4_k_m.gguf,HumanEval,2814,140.7,"164, 155, 125, 159, 157, 132, 152, 133, 150, 140, 182, 116, 142, 110, 99, 108, 110, 207, 128, 145",-,3.5840751644002014,"4.634, 3.838, 3.116, 4.188, 4.066, 3.151, 3.825, 3.270, 3.836, 3.270, 5.194, 2.794, 3.579, 2.710, 2.161, 2.522, 2.517, 5.938, 3.211, 3.864",39.90658139638232,4.8682987575018135,"5.03, 4.88, 4.86, 4.86, 4.87, 4.87, 4.86, 4.87, 4.86, 4.87, 4.83, 4.86, 4.85, 4.86, 4.86, 4.86, 4.86, 4.81, 4.86, 4.86",4350.578125
llama3.2-3b-q3_k_m.gguf,MMLU,3038,151.9,"119, 193, 227, 262, 98, 159, 201, 109, 119, 211, 134, 112, 199, 106, 149, 161, 114, 109, 116, 140",1.4614169730011781,8.61738721799993,"6.381, 11.614, 14.084, 16.555, 4.719, 9.152, 12.165, 5.510, 5.877, 12.887, 7.318, 5.783, 12.033, 5.310, 8.388, 9.264, 5.879, 5.506, 6.095, 7.827",18.185092915080762,6.292326504662489,"6.32, 6.33, 6.33, 6.29, 6.30, 6.30, 6.33, 6.31, 6.30, 6.32, 6.29, 6.32, 6.27, 6.35, 6.30, 6.32, 6.34, 6.34, 6.08, 6.12",2959.765625
llama3.2-3b-q3_k_m.gguf,ARC,2376,118.8,"108, 123, 115, 132, 152, 155, 152, 117, 141, 92, 104, 98, 108, 104, 81, 81, 135, 125, 141, 112",-,6.259655452450261,"5.518, 6.546, 5.968, 7.209, 8.655, 8.844, 8.658, 6.089, 7.807, 4.352, 5.230, 4.748, 5.514, 5.227, 3.512, 3.512, 7.456, 6.690, 7.847, 5.812",19.358540340476612,6.187319827582888,"6.32, 6.32, 6.32, 6.32, 6.31, 6.32, 6.34, 6.32, 6.32, 6.08, 6.09, 6.07, 6.09, 6.05, 6.07, 6.09, 6.06, 6.10, 6.08, 6.08",2989.640625
llama3.2-3b-q3_k_m.gguf,GSM8K,2273,113.65,"118, 81, 104, 89, 163, 109, 96, 120, 156, 112, 113, 116, 121, 112, 104, 145, 105, 107, 83, 119",-,5.834570259800148,"6.126, 3.476, 5.122, 4.062, 9.386, 5.515, 4.551, 6.297, 8.893, 5.724, 5.812, 6.004, 6.389, 5.724, 5.136, 8.122, 5.228, 5.331, 3.591, 6.203",19.849895037401303,6.16153261492653,"6.19, 6.12, 6.17, 6.16, 6.15, 6.16, 6.11, 6.17, 6.16, 6.17, 6.16, 6.16, 6.17, 6.17, 6.16, 6.16, 6.17, 6.17, 6.17, 6.16",3008.734375
llama3.2-3b-q3_k_m.gguf,HumanEval,2814,140.7,"164, 155, 125, 159, 157, 132, 152, 133, 150, 140, 182, 116, 142, 110, 99, 108, 110, 207, 128, 145",-,7.243987034700149,"9.577, 7.905, 6.297, 8.730, 8.126, 6.297, 7.736, 6.390, 7.740, 6.698, 10.447, 5.626, 7.165, 5.229, 4.382, 5.049, 5.046, 12.212, 6.489, 7.738",19.795670668206796,6.155215437009764,"6.17, 6.16, 6.16, 6.15, 6.16, 6.16, 6.16, 6.16, 6.16, 6.16, 6.11, 6.17, 6.16, 6.16, 6.17, 6.16, 6.16, 6.06, 6.17, 6.16",3008.734375
