Model,Dataset,Total Prompt Tokens,Avg Prompt Tokens,All Prompt Tokens,Cold Start TTFT (s),Avg TTFT (s),All TTFTs (s),Avg Prefill TPS,Avg Decode TPS,All Decode TPS,Dataset Peak Memory (MB)
gemma-4-E2B-it-Q5_K_M.gguf,MMLU,2739,136.95,"100, 177, 225, 256, 83, 143, 179, 94, 107, 198, 114, 98, 188, 85, 135, 143, 103, 89, 97, 125",0.7439090709999618,4.171131837500036,"3.030, 5.456, 6.937, 8.134, 2.427, 4.411, 5.573, 2.768, 3.033, 6.158, 3.424, 2.901, 5.917, 2.441, 4.148, 4.420, 3.094, 2.571, 2.834, 3.748",33.177399972363936,5.3360147999392735,"5.33, 5.35, 5.37, 5.31, 5.31, 5.38, 5.43, 5.30, 5.30, 5.30, 5.29, 5.32, 5.33, 5.26, 5.38, 5.38, 5.31, 5.29, 5.31, 5.47",5070.7734375
gemma-4-E2B-it-Q5_K_M.gguf,ARC,2023,101.15,"87, 104, 94, 112, 138, 133, 129, 101, 123, 73, 81, 84, 96, 89, 62, 75, 121, 105, 119, 97",-,3.0031794215999525,"2.603, 3.157, 2.772, 3.412, 4.207, 4.013, 3.880, 2.966, 3.740, 2.034, 2.304, 2.492, 2.907, 2.562, 1.703, 2.172, 3.620, 3.081, 3.614, 2.826",33.87318613567807,5.306695663047458,"5.31, 5.31, 5.31, 5.32, 5.31, 5.30, 5.30, 5.29, 5.30, 5.31, 5.30, 5.30, 5.31, 5.31, 5.31, 5.31, 5.32, 5.28, 5.32, 5.32",5131.70703125
gemma-4-E2B-it-Q5_K_M.gguf,GSM8K,1958,97.9,"101, 63, 94, 71, 148, 91, 77, 106, 141, 96, 97, 98, 103, 96, 94, 131, 90, 95, 64, 102",-,2.8783597925000093,"3.064, 1.709, 2.703, 1.981, 4.542, 2.636, 2.234, 3.103, 4.348, 2.843, 2.894, 2.862, 3.040, 2.848, 2.712, 3.959, 2.592, 2.770, 1.773, 2.955",34.25586490359505,5.389691497678283,"5.38, 5.37, 5.37, 5.38, 5.36, 5.36, 5.36, 5.37, 5.36, 5.36, 5.36, 5.36, 5.37, 5.37, 5.86, 5.36, 5.36, 5.36, 5.36, 5.37",5147.54296875
gemma-4-E2B-it-Q5_K_M.gguf,HumanEval,2659,132.95,"158, 148, 111, 150, 146, 126, 145, 126, 147, 131, 178, 112, 133, 99, 86, 101, 98, 207, 121, 136",-,3.7659463672000357,"4.941, 4.075, 3.167, 4.435, 4.093, 3.401, 4.003, 3.426, 4.148, 3.532, 5.339, 3.092, 3.624, 2.772, 2.309, 2.774, 2.577, 6.299, 3.431, 3.881",35.61214399907546,5.369240256200163,"5.37, 5.37, 5.37, 5.36, 5.36, 5.37, 5.37, 5.38, 5.37, 5.38, 5.35, 5.37, 5.37, 5.34, 5.38, 5.37, 5.42, 5.33, 5.38, 5.38",5147.54296875
gemma-4-E2B-it-Q4_K_M.gguf,MMLU,2739,136.95,"100, 177, 225, 256, 83, 143, 179, 94, 107, 198, 114, 98, 188, 85, 135, 143, 103, 89, 97, 125",2.955070339000031,4.61716787814994,"4.429, 6.343, 8.306, 7.693, 2.877, 4.034, 8.137, 2.738, 2.448, 5.575, 5.865, 2.584, 6.595, 1.980, 5.894, 3.559, 3.039, 2.461, 4.740, 3.047",31.706619185041074,7.840985961282378,"8.04, 7.84, 7.79, 7.87, 8.06, 7.86, 7.77, 7.99, 8.06, 7.61, 8.02, 7.87, 7.25, 8.04, 8.14, 7.34, 8.00, 7.89, 7.71, 7.69",4198.9140625
gemma-4-E2B-it-Q4_K_M.gguf,ARC,2023,101.15,"87, 104, 94, 112, 138, 133, 129, 101, 123, 73, 81, 84, 96, 89, 62, 75, 121, 105, 119, 97",-,2.994914799350022,"2.071, 3.115, 2.900, 3.630, 3.490, 4.478, 5.535, 3.920, 3.616, 1.656, 3.646, 1.996, 2.681, 2.090, 1.370, 1.737, 3.265, 3.068, 3.330, 2.305",35.76520172252284,7.936154982405995,"8.03, 7.58, 7.85, 8.06, 7.96, 7.43, 7.96, 8.04, 7.79, 8.05, 8.05, 8.10, 8.02, 8.05, 8.05, 8.03, 8.04, 7.54, 8.02, 8.09",3906.859375
gemma-4-E2B-it-Q4_K_M.gguf,GSM8K,1958,97.9,"101, 63, 94, 71, 148, 91, 77, 106, 141, 96, 97, 98, 103, 96, 94, 131, 90, 95, 64, 102",-,2.707612443999983,"2.448, 2.066, 2.221, 1.599, 4.560, 2.141, 1.777, 2.518, 3.994, 2.280, 2.320, 5.072, 2.693, 2.773, 2.199, 3.530, 3.010, 2.236, 2.290, 2.422",37.626663964274364,8.139842669954428,"8.21, 8.00, 8.01, 8.18, 7.06, 8.16, 8.17, 8.17, 8.18, 8.20, 8.19, 8.10, 8.17, 8.19, 8.95, 8.17, 8.19, 8.16, 8.15, 8.17",3845.16796875
gemma-4-E2B-it-Q4_K_M.gguf,HumanEval,2659,132.95,"158, 148, 111, 150, 146, 126, 145, 126, 147, 131, 178, 112, 133, 99, 86, 101, 98, 207, 121, 136",-,3.4651923000500573,"4.004, 7.533, 2.524, 3.584, 3.547, 3.546, 3.236, 2.788, 3.454, 2.817, 4.846, 2.784, 2.942, 2.208, 2.148, 2.249, 3.992, 5.094, 2.842, 3.165",40.16870682567266,8.049890596707085,"8.16, 8.18, 8.22, 8.16, 8.16, 7.25, 8.13, 8.17, 8.14, 8.15, 8.09, 8.20, 6.86, 8.11, 8.17, 8.20, 8.23, 8.07, 8.17, 8.16",3785.52734375
gemma-4-E2B-it-Q3_K_M.gguf,MMLU,2739,136.95,"100, 177, 225, 256, 83, 143, 179, 94, 107, 198, 114, 98, 188, 85, 135, 143, 103, 89, 97, 125",2.6131656859997747,7.937974096500147,"6.207, 9.115, 18.056, 13.564, 3.902, 7.617, 9.950, 6.045, 6.853, 13.303, 5.847, 4.718, 12.005, 6.785, 6.712, 7.168, 5.286, 4.529, 4.699, 6.399",17.938974224438855,5.504719230599027,"5.56, 5.53, 5.48, 4.94, 5.56, 5.50, 5.68, 5.56, 5.55, 5.57, 5.59, 5.59, 5.63, 5.56, 4.93, 5.60, 5.55, 5.57, 5.56, 5.61",2933.39453125
gemma-4-E2B-it-Q3_K_M.gguf,ARC,2023,101.15,"87, 104, 94, 112, 138, 133, 129, 101, 123, 73, 81, 84, 96, 89, 62, 75, 121, 105, 119, 97",-,5.42584129540005,"4.112, 5.623, 4.757, 5.460, 6.904, 6.598, 6.960, 7.628, 6.673, 3.335, 3.761, 3.930, 4.600, 4.212, 2.737, 3.452, 6.224, 7.523, 6.326, 7.702",19.313120535339102,5.557474094328638,"5.52, 5.57, 5.57, 5.56, 5.51, 5.58, 5.56, 5.54, 5.57, 5.58, 5.57, 5.57, 5.54, 5.56, 5.56, 5.58, 5.57, 5.56, 5.56, 5.53",2704.22265625
gemma-4-E2B-it-Q3_K_M.gguf,GSM8K,1958,97.9,"101, 63, 94, 71, 148, 91, 77, 106, 141, 96, 97, 98, 103, 96, 94, 131, 90, 95, 64, 102",-,4.840731579250132,"4.830, 2.739, 4.433, 3.178, 7.756, 4.274, 3.501, 5.089, 7.008, 4.556, 4.604, 6.772, 5.044, 4.926, 4.678, 6.764, 4.510, 4.502, 2.790, 4.860",20.58680331734263,5.644006490026788,"5.55, 5.66, 5.58, 5.67, 5.67, 5.54, 5.61, 5.66, 5.65, 5.64, 5.65, 5.66, 5.66, 5.27, 6.18, 5.63, 5.66, 5.65, 5.66, 5.66",2617.84375
gemma-4-E2B-it-Q3_K_M.gguf,HumanEval,2659,132.95,"158, 148, 111, 150, 146, 126, 145, 126, 147, 131, 178, 112, 133, 99, 86, 101, 98, 207, 121, 136",-,6.2565247418500345,"8.040, 8.597, 5.028, 7.157, 6.555, 5.467, 6.514, 5.493, 7.004, 5.641, 8.935, 5.329, 5.961, 4.380, 4.076, 4.498, 4.209, 10.260, 5.586, 6.400",21.520318852345532,5.644503818032159,"5.64, 5.67, 5.66, 5.65, 5.65, 5.60, 5.66, 5.64, 5.64, 5.66, 5.63, 5.70, 5.58, 5.61, 5.66, 5.65, 5.64, 5.62, 5.66, 5.65",2545.734375
