Model,Dataset,Total Prompt Tokens,Avg Prompt Tokens,All Prompt Tokens,Cold Start TTFT (s),Avg TTFT (s),All TTFTs (s),Avg Prefill TPS,Avg Decode TPS,All Decode TPS,Dataset Peak Memory (MB)
gemma-4-E2B-it-Q5_K_M.gguf,MMLU,2739,136.95,"100, 177, 225, 256, 83, 143, 179, 94, 107, 198, 114, 98, 188, 85, 135, 143, 103, 89, 97, 125",0.7516320189999988,4.337775672150002,"3.133, 5.681, 7.356, 8.524, 2.513, 4.560, 5.815, 2.858, 3.129, 6.441, 3.542, 2.997, 6.155, 2.517, 4.293, 4.564, 3.200, 2.653, 2.942, 3.880",31.97833933429103,5.936771075140471,"5.92, 5.97, 5.99, 5.89, 5.91, 5.93, 6.05, 5.89, 5.88, 5.89, 5.89, 5.89, 5.96, 5.91, 5.98, 6.00, 5.91, 5.88, 5.89, 6.11",5074.359375
gemma-4-E2B-it-Q5_K_M.gguf,ARC,2023,101.15,"87, 104, 94, 112, 138, 133, 129, 101, 123, 73, 81, 84, 96, 89, 62, 75, 121, 105, 119, 97",-,3.110447289599995,"2.690, 3.261, 2.861, 3.526, 4.377, 4.164, 4.027, 3.063, 3.878, 2.107, 2.380, 2.577, 2.989, 2.654, 1.761, 2.252, 3.753, 3.198, 3.753, 2.939",32.71434589691734,5.88201055121805,"5.90, 5.87, 5.89, 5.91, 5.89, 5.87, 5.86, 5.88, 5.89, 5.89, 5.86, 5.90, 5.77, 5.89, 5.91, 5.89, 5.90, 5.88, 5.88, 5.93",5135.0
gemma-4-E2B-it-Q5_K_M.gguf,GSM8K,1958,97.9,"101, 63, 94, 71, 148, 91, 77, 106, 141, 96, 97, 98, 103, 96, 94, 131, 90, 95, 64, 102",-,2.9722767612500034,"3.165, 1.762, 2.789, 2.039, 4.708, 2.721, 2.314, 3.199, 4.507, 2.921, 2.987, 2.939, 3.136, 2.926, 2.786, 4.094, 2.659, 2.866, 1.842, 3.085",33.18184244054574,5.907833384996974,"5.97, 5.96, 6.01, 6.02, 6.01, 6.01, 6.01, 6.02, 6.01, 6.00, 5.85, 5.82, 5.81, 5.82, 5.83, 5.83, 5.81, 5.80, 5.79, 5.80",5171.0
gemma-4-E2B-it-Q5_K_M.gguf,HumanEval,2659,132.95,"158, 148, 111, 150, 146, 126, 145, 126, 147, 131, 178, 112, 133, 99, 86, 101, 98, 207, 121, 136",-,3.9153321487500308,"5.152, 4.229, 3.261, 4.567, 4.224, 3.546, 4.184, 3.554, 4.324, 3.635, 5.582, 3.218, 3.775, 2.871, 2.392, 2.880, 2.673, 6.615, 3.567, 4.055",34.28024990682799,5.801194330400976,"5.99, 5.83, 5.80, 5.79, 5.80, 5.79, 5.79, 5.79, 5.79, 5.81, 5.77, 5.79, 5.79, 5.74, 5.78, 5.79, 5.83, 5.75, 5.81, 5.80",5171.0
gemma-4-E2B-it-Q4_K_M.gguf,MMLU,2739,136.95,"100, 177, 225, 256, 83, 143, 179, 94, 107, 198, 114, 98, 188, 85, 135, 143, 103, 89, 97, 125",1.4910738540002058,3.798138893700025,"2.741, 4.997, 6.458, 7.495, 2.187, 3.979, 5.092, 2.504, 2.733, 5.637, 3.100, 2.615, 5.372, 2.213, 3.744, 3.984, 2.784, 2.330, 2.590, 3.408",36.5339849688328,6.384512441597039,"6.30, 6.38, 6.37, 6.38, 6.37, 6.42, 6.64, 6.34, 6.34, 6.34, 6.35, 6.47, 6.40, 6.33, 6.44, 6.45, 6.36, 6.31, 6.38, 6.33",4595.515625
gemma-4-E2B-it-Q4_K_M.gguf,ARC,2023,101.15,"87, 104, 94, 112, 138, 133, 129, 101, 123, 73, 81, 84, 96, 89, 62, 75, 121, 105, 119, 97",-,2.723880646350017,"2.342, 2.845, 2.504, 3.070, 3.830, 3.649, 3.539, 2.693, 3.379, 1.852, 2.093, 2.243, 2.646, 2.329, 1.538, 1.959, 3.293, 2.815, 3.268, 2.590",37.356617591355416,6.3604191226548155,"6.36, 6.35, 6.36, 6.36, 6.35, 6.37, 6.36, 6.37, 6.35, 6.34, 6.36, 6.38, 6.35, 6.37, 6.36, 6.38, 6.37, 6.34, 6.36, 6.38",4656.15625
gemma-4-E2B-it-Q4_K_M.gguf,GSM8K,1958,97.9,"101, 63, 94, 71, 148, 91, 77, 106, 141, 96, 97, 98, 103, 96, 94, 131, 90, 95, 64, 102",-,2.596764278549972,"2.763, 1.538, 2.448, 1.778, 4.109, 2.375, 2.011, 2.809, 3.932, 2.548, 2.604, 2.584, 2.738, 2.549, 2.448, 3.580, 2.337, 2.500, 1.588, 2.698",37.991113096185536,6.416258321892816,"6.47, 6.47, 6.48, 6.47, 6.48, 6.47, 6.44, 6.45, 6.40, 6.34, 6.40, 6.32, 6.29, 6.30, 6.96, 6.35, 6.33, 6.29, 6.32, 6.30",4692.15625
gemma-4-E2B-it-Q4_K_M.gguf,HumanEval,2659,132.95,"158, 148, 111, 150, 146, 126, 145, 126, 147, 131, 178, 112, 133, 99, 86, 101, 98, 207, 121, 136",-,3.4064300530999616,"4.505, 3.699, 2.843, 3.988, 3.687, 3.077, 3.630, 3.078, 3.747, 3.149, 4.842, 2.811, 3.299, 2.485, 2.068, 2.505, 2.332, 5.745, 3.100, 3.538",39.40960478200945,6.338969886560918,"6.43, 6.44, 6.45, 6.43, 6.44, 6.44, 6.44, 6.40, 6.34, 6.31, 6.24, 6.27, 6.29, 6.22, 6.28, 6.27, 6.33, 6.23, 6.28, 6.26",4692.15625
gemma-4-E2B-it-Q3_K_M.gguf,MMLU,2739,136.95,"100, 177, 225, 256, 83, 143, 179, 94, 107, 198, 114, 98, 188, 85, 135, 143, 103, 89, 97, 125",1.0740639109999393,7.000539885050012,"5.037, 9.300, 11.993, 13.740, 3.965, 7.348, 9.374, 4.573, 5.024, 10.440, 5.703, 4.807, 9.894, 4.068, 6.892, 7.351, 5.104, 4.302, 4.764, 6.332",19.84337602827545,7.573905320060253,"7.63, 7.73, 7.84, 7.65, 7.63, 7.77, 7.62, 7.58, 7.56, 7.50, 7.61, 7.59, 7.46, 7.56, 7.51, 7.55, 7.39, 7.38, 7.37, 7.56",3139.1875
gemma-4-E2B-it-Q3_K_M.gguf,ARC,2023,101.15,"87, 104, 94, 112, 138, 133, 129, 101, 123, 73, 81, 84, 96, 89, 62, 75, 121, 105, 119, 97",-,4.986881255499975,"4.214, 5.149, 4.578, 5.600, 7.059, 6.774, 6.545, 4.967, 6.213, 3.393, 3.843, 4.032, 4.707, 4.288, 2.789, 3.518, 6.100, 5.183, 6.018, 4.767",20.436854102024835,7.574562149019992,"7.58, 7.61, 7.62, 7.63, 7.62, 7.62, 7.62, 7.57, 7.62, 7.63, 7.60, 7.62, 7.64, 7.61, 7.61, 7.61, 7.62, 7.35, 7.35, 7.37",3199.734375
