Model,Dataset,Max_Tokens,Runs,Model_Load_Time (s),Cold_Start_TTFT (s),TTFT_Mean (s),TTFT_Std (s),Prefill_TPS_Mean,Prefill_TPS_Std,Decode_TPS_Mean,Decode_TPS_Std,Max_Peak_Mem (MB)
Llama-3.2-3B-Instruct-Q5_K_M.gguf,HellaSwag,128,3,31.53,0.7807,4.029,0.0006,35.1621,0.0084,4.4515,0.0021,4868.7
Llama-3.2-3B-Instruct-Q5_K_M.gguf,TruthfulQA,128,3,31.53,0.7807,1.0062,0.0004,57.4159,0.01,4.4808,0.0017,4877.6
Llama-3.2-3B-Instruct-Q5_K_M.gguf,GSM8K,128,3,31.53,0.7807,3.1487,0.0019,36.8156,0.0206,4.502,0.0023,4877.3
Llama-3.2-3B-Instruct-Q5_K_M.gguf,MMLU,256,3,31.53,0.7807,3.9435,0.0018,35.1568,0.0192,4.4556,0.0011,4878.6
Llama-3.2-3B-Instruct-Q5_K_M.gguf,ARC,256,3,31.53,0.7807,2.8824,0.0003,37.621,0.0036,4.4545,0.0004,4880.1
Llama-3.2-3B-Instruct-Q5_K_M.gguf,HellaSwag,256,3,31.53,0.7807,4.0289,0.0014,35.1619,0.0121,4.4588,0.0012,4881.7
Llama-3.2-3B-Instruct-Q5_K_M.gguf,TruthfulQA,256,3,31.53,0.7807,1.0076,0.0003,57.3254,0.0263,4.4728,0.0024,4881.7
Llama-3.2-3B-Instruct-Q5_K_M.gguf,GSM8K,256,3,31.53,0.7807,3.1533,0.001,36.763,0.0099,4.4555,0.0004,4884.4
Llama-3.2-3B-Instruct-Q5_K_M.gguf,MMLU,512,3,31.53,0.7807,3.9412,0.0008,35.1709,0.0069,4.4552,0.002,4886.6
Llama-3.2-3B-Instruct-Q5_K_M.gguf,ARC,512,3,31.53,0.7807,2.8837,0.001,37.6131,0.0056,4.454,0.0005,4889.5
Llama-3.2-3B-Instruct-Q5_K_M.gguf,HellaSwag,512,3,31.53,0.7807,4.0313,0.0019,35.139,0.0168,4.454,0.0005,4892.6
Llama-3.2-3B-Instruct-Q5_K_M.gguf,TruthfulQA,512,3,31.53,0.7807,1.0055,0.0013,57.4369,0.0786,4.4728,0.0028,4895.4
Llama-3.2-3B-Instruct-Q5_K_M.gguf,GSM8K,512,3,31.53,0.7807,3.1474,0.002,36.8333,0.0231,4.4576,0.0005,4898.2
