Model,Dataset,Max_Tokens,Runs,Model_Load_Time (s),Cold_Start_TTFT (s),TTFT_Mean (s),TTFT_Std (s),Prefill_TPS_Mean,Prefill_TPS_Std,Decode_TPS_Mean,Decode_TPS_Std,Peak_Mem_Mean (MB),Peak_Mem_Std (MB)
gemma-3-1b-it-Q3_K_M.gguf,TruthfulQA,128,3,1.74,0.174,0.2154,0.0006,209.86,0.6331,14.4991,0.1409,1855.4,9.8
gemma-3-1b-it-Q3_K_M.gguf,GSM8K,128,3,1.74,0.174,0.6884,0.0001,158.0296,0.0085,15.1905,0.0179,1867.4,9.3
gemma-3-1b-it-Q3_K_M.gguf,MMLU,256,3,1.74,0.174,0.8557,0.0,153.1658,0.0191,14.8676,0.0624,1867.4,12.3
gemma-3-1b-it-Q3_K_M.gguf,ARC,256,3,1.74,0.174,0.6179,0.0,159.9361,0.0137,14.7612,0.0041,1877.4,8.6
gemma-3-1b-it-Q3_K_M.gguf,HellaSwag,256,3,1.74,0.174,0.8688,0.0002,154.9075,0.0308,14.746,0.0018,1880.4,12.6
gemma-3-1b-it-Q3_K_M.gguf,TruthfulQA,256,3,1.74,0.174,0.2124,0.0002,212.9327,0.2582,14.9772,0.0883,1893.4,8.5
gemma-3-1b-it-Q3_K_M.gguf,GSM8K,256,3,1.74,0.174,0.6886,0.0002,157.9762,0.05,14.9831,0.0525,1893.4,11.2
gemma-3-1b-it-Q3_K_M.gguf,MMLU,512,3,1.74,0.174,0.8558,0.0002,153.1412,0.0302,14.8171,0.0581,1893.4,14.7
gemma-3-1b-it-Q3_K_M.gguf,ARC,512,3,1.74,0.174,0.6179,0.0002,159.9501,0.0608,14.898,0.0233,1903.4,9.3
gemma-3-1b-it-Q3_K_M.gguf,HellaSwag,512,3,1.74,0.174,0.868,0.0,155.0361,0.0022,14.8862,0.0075,1903.4,12.3
gemma-3-1b-it-Q3_K_M.gguf,TruthfulQA,512,3,1.74,0.174,0.2124,0.0,212.9121,0.042,14.9354,0.0139,1916.4,9.9
gemma-3-1b-it-Q3_K_M.gguf,GSM8K,512,3,1.74,0.174,0.6886,0.0,157.9669,0.0066,14.9012,0.0229,1916.4,12.6
