Model,Dataset,Total Prompt Tokens,Avg Prompt Tokens,All Prompt Tokens,Cold Start TTFT (s),Avg TTFT (s),All TTFTs (s),Avg Prefill TPS,Avg Decode TPS,All Decode TPS,Dataset Peak Memory (MB)
llama3.2-3b-q5_k_m.gguf,MMLU,3038,151.9,"119, 193, 227, 262, 98, 159, 201, 109, 119, 211, 134, 112, 199, 106, 149, 161, 114, 109, 116, 140",11.608334073003789,4.615553271548924,"3.410, 6.183, 7.483, 8.732, 2.573, 4.936, 6.409, 2.946, 3.178, 6.869, 3.951, 3.216, 6.439, 2.883, 4.445, 4.895, 3.178, 2.947, 3.381, 4.259",33.80809554746779,4.3861005137483104,"4.38, 4.38, 4.40, 4.41, 4.38, 4.36, 4.40, 4.39, 4.39, 4.38, 4.40, 4.36, 4.40, 4.39, 4.40, 4.38, 4.39, 4.39, 4.36, 4.40",3622.90234375
llama3.2-3b-q5_k_m.gguf,ARC,2376,118.8,"108, 123, 115, 132, 152, 155, 152, 117, 141, 92, 104, 98, 108, 104, 81, 81, 135, 125, 141, 112",-,3.406255264749416,"3.075, 3.567, 3.271, 3.952, 4.695, 4.754, 4.710, 3.253, 4.136, 2.461, 2.913, 2.598, 3.073, 2.911, 1.880, 1.935, 4.038, 3.536, 4.145, 3.223",35.48299686021882,4.382997994698381,"4.38, 4.37, 4.39, 4.37, 4.38, 4.40, 4.38, 4.39, 4.40, 4.39, 4.39, 4.37, 4.39, 4.38, 4.35, 4.39, 4.39, 4.37, 4.39, 4.38",3627.9296875
llama3.2-3b-q5_k_m.gguf,GSM8K,2273,113.65,"118, 81, 104, 89, 163, 109, 96, 120, 156, 112, 113, 116, 121, 112, 104, 145, 105, 107, 83, 119",-,3.1943937017007555,"3.274, 1.988, 2.830, 2.316, 4.992, 3.053, 2.534, 3.427, 4.768, 3.134, 3.219, 3.284, 3.535, 3.158, 2.844, 4.430, 2.906, 2.892, 1.976, 3.327",36.0996954597962,4.378274991565521,"4.40, 4.40, 4.38, 4.40, 4.34, 4.39, 4.39, 4.37, 4.35, 4.39, 4.38, 4.39, 4.39, 4.36, 4.39, 4.35, 4.37, 4.36, 4.39, 4.38",3635.546875
llama3.2-3b-q5_k_m.gguf,HumanEval,2814,140.7,"164, 155, 125, 159, 157, 132, 152, 133, 150, 140, 182, 116, 142, 110, 99, 108, 110, 207, 128, 145",-,3.9031168413985142,"5.057, 4.248, 3.441, 4.618, 4.429, 3.439, 4.179, 3.517, 4.194, 3.542, 5.601, 3.054, 3.905, 2.909, 2.337, 2.741, 2.732, 6.397, 3.534, 4.185",36.643202758841845,4.355210204195737,"4.36, 4.35, 4.36, 4.35, 4.34, 4.36, 4.36, 4.34, 4.35, 4.36, 4.34, 4.36, 4.36, 4.36, 4.37, 4.37, 4.36, 4.33, 4.36, 4.35",3641.484375
llama3.2-3b-q4_k_m.gguf,MMLU,3038,151.9,"119, 193, 227, 262, 98, 159, 201, 109, 119, 211, 134, 112, 199, 106, 149, 161, 114, 109, 116, 140",1.2520889719962724,3.396469163349684,"2.535, 4.531, 5.478, 6.443, 1.890, 3.612, 4.748, 2.198, 2.355, 5.029, 2.907, 2.335, 4.755, 2.119, 3.286, 3.616, 2.349, 2.208, 2.446, 3.089",45.91843676203489,6.782725589056798,"6.84, 6.69, 6.63, 6.68, 6.83, 6.86, 6.80, 6.79, 6.81, 6.78, 6.81, 6.80, 6.86, 6.77, 6.82, 6.81, 6.81, 6.76, 6.77, 6.74",4213.28515625
llama3.2-3b-q4_k_m.gguf,ARC,2376,118.8,"108, 123, 115, 132, 152, 155, 152, 117, 141, 92, 104, 98, 108, 104, 81, 81, 135, 125, 141, 112",-,2.4967170049501872,"2.240, 2.607, 2.384, 2.877, 3.418, 3.531, 3.419, 2.429, 3.082, 1.773, 2.096, 1.942, 2.213, 2.101, 1.397, 1.415, 2.958, 2.630, 3.077, 2.344",48.425239368744634,6.7657251823905895,"6.79, 6.73, 6.84, 6.78, 6.80, 6.24, 6.83, 6.78, 6.79, 6.83, 6.81, 6.79, 6.77, 6.80, 6.78, 6.81, 6.79, 6.77, 6.80, 6.78",4243.60546875
llama3.2-3b-q4_k_m.gguf,GSM8K,2273,113.65,"118, 81, 104, 89, 163, 109, 96, 120, 156, 112, 113, 116, 121, 112, 104, 145, 105, 107, 83, 119",-,2.332418534150565,"2.442, 1.430, 2.070, 1.662, 3.673, 2.245, 1.847, 2.511, 3.483, 2.290, 2.360, 2.399, 2.566, 2.281, 2.052, 3.210, 2.115, 2.115, 1.441, 2.457",49.487973635847446,6.769502608953671,"6.76, 6.83, 6.78, 6.82, 6.69, 6.81, 6.83, 6.74, 6.71, 6.82, 6.80, 6.82, 6.73, 6.73, 6.74, 6.68, 6.75, 6.82, 6.80, 6.73",4246.69140625
llama3.2-3b-q4_k_m.gguf,HumanEval,2814,140.7,"164, 155, 125, 159, 157, 132, 152, 133, 150, 140, 182, 116, 142, 110, 99, 108, 110, 207, 128, 145",-,2.860664075250315,"3.753, 3.111, 2.512, 3.395, 3.208, 2.515, 3.067, 2.551, 3.062, 2.634, 4.087, 2.246, 2.841, 2.098, 1.737, 2.017, 2.000, 4.729, 2.573, 3.078",50.00723107360908,6.712472127762659,"6.68, 6.68, 6.72, 6.67, 6.69, 6.73, 6.71, 6.72, 6.70, 6.71, 6.66, 6.72, 6.69, 6.73, 6.79, 6.79, 6.77, 6.65, 6.71, 6.72",4251.734375
llama3.2-3b-q3_k_m.gguf,MMLU,3038,151.9,"119, 193, 227, 262, 98, 159, 201, 109, 119, 211, 134, 112, 199, 106, 149, 161, 114, 109, 116, 140",1.4049336289972416,8.32384376509981,"6.186, 11.181, 13.539, 15.967, 4.582, 8.831, 11.729, 5.345, 5.718, 12.424, 7.098, 5.583, 11.615, 5.145, 8.131, 8.964, 5.710, 5.354, 5.858, 7.516",18.80500190030718,4.97014300978282,"5.00, 5.01, 4.96, 4.99, 4.97, 4.98, 4.98, 4.97, 4.97, 4.96, 4.95, 4.96, 4.98, 4.98, 4.94, 4.97, 4.93, 4.98, 4.98, 4.94",2868.43359375
llama3.2-3b-q3_k_m.gguf,ARC,2376,118.8,"108, 123, 115, 132, 152, 155, 152, 117, 141, 92, 104, 98, 108, 104, 81, 81, 135, 125, 141, 112",-,6.043727076499271,"5.300, 6.347, 5.790, 6.968, 8.358, 8.555, 8.368, 5.910, 7.569, 4.191, 5.015, 4.590, 5.300, 5.013, 3.400, 3.395, 7.191, 6.469, 7.572, 5.574",20.05567324157388,4.9660384141788985,"4.98, 4.96, 4.96, 4.96, 4.96, 4.97, 4.98, 4.97, 4.98, 4.97, 4.97, 4.96, 4.97, 4.96, 4.96, 4.94, 4.97, 4.97, 4.97, 4.97",2898.9921875
llama3.2-3b-q3_k_m.gguf,GSM8K,2273,113.65,"118, 81, 104, 89, 163, 109, 96, 120, 156, 112, 113, 116, 121, 112, 104, 145, 105, 107, 83, 119",-,5.62219162880101,"5.924, 3.338, 4.942, 3.909, 9.038, 5.298, 4.403, 6.061, 8.593, 5.512, 5.578, 5.798, 6.152, 5.506, 4.943, 7.803, 5.026, 5.158, 3.474, 5.985",20.598885597454963,4.957980514800396,"4.97, 4.99, 4.96, 4.99, 4.92, 4.95, 4.99, 4.95, 4.93, 4.96, 4.97, 4.98, 4.93, 4.97, 4.97, 4.91, 4.95, 4.94, 4.98, 4.95",2901.8203125
