Model,Dataset,Total Prompt Tokens,Avg Prompt Tokens,All Prompt Tokens,Cold Start TTFT (s),Avg TTFT (s),All TTFTs (s),Avg Prefill TPS,Avg Decode TPS,All Decode TPS,Dataset Peak Memory (MB)
Qwen3-1.7B-Q5_K_M.gguf,MMLU,2769,138.45,"104, 178, 222, 257, 83, 148, 186, 94, 104, 196, 119, 97, 189, 91, 136, 146, 99, 94, 101, 125",1.0601219730015146,2.4432166306010914,"1.776, 3.184, 4.116, 4.917, 1.345, 2.650, 3.334, 1.544, 1.671, 3.575, 2.068, 1.663, 3.438, 1.487, 2.384, 2.535, 1.655, 1.550, 1.768, 2.208",57.64563405291081,7.452230870304843,"7.46, 7.49, 7.50, 7.28, 7.50, 7.43, 7.40, 7.48, 7.46, 7.39, 7.47, 7.49, 7.41, 7.50, 7.46, 7.45, 7.49, 7.48, 7.47, 7.45",2777.7421875
Qwen3-1.7B-Q5_K_M.gguf,ARC,2088,104.4,"93, 108, 100, 118, 137, 140, 137, 102, 126, 77, 89, 83, 99, 89, 66, 71, 120, 110, 126, 97",-,1.7799223905996768,"1.592, 1.868, 1.707, 2.012, 2.475, 2.460, 2.447, 1.699, 2.151, 1.280, 1.507, 1.358, 1.663, 1.510, 0.994, 1.106, 2.100, 1.841, 2.154, 1.675",59.152687287135926,7.494809773875488,"7.47, 7.53, 7.52, 7.52, 7.45, 7.44, 7.43, 7.46, 7.45, 7.54, 7.48, 7.55, 7.49, 7.49, 7.51, 7.63, 7.54, 7.47, 7.45, 7.47",2788.75
Qwen3-1.7B-Q5_K_M.gguf,GSM8K,2021,101.05,"104, 66, 97, 75, 151, 96, 82, 109, 144, 100, 100, 104, 107, 97, 92, 134, 93, 97, 68, 105",-,1.6922336264491604,"1.759, 1.038, 1.637, 1.148, 2.624, 1.581, 1.356, 1.863, 2.507, 1.659, 1.652, 1.743, 1.768, 1.635, 1.493, 2.385, 1.542, 1.629, 1.041, 1.786",60.20732097793508,7.493589626249525,"7.49, 7.58, 7.51, 7.52, 7.45, 7.50, 7.51, 7.49, 7.44, 7.50, 7.49, 7.49, 7.49, 7.50, 7.50, 7.47, 7.50, 7.49, 7.51, 7.48",2791.6796875
Qwen3-1.7B-Q5_K_M.gguf,HumanEval,2529,126.45,"149, 140, 110, 144, 142, 117, 137, 118, 137, 125, 167, 107, 127, 97, 84, 93, 95, 197, 113, 130",-,2.0372667556490343,"2.631, 2.193, 1.783, 2.391, 2.283, 1.784, 2.161, 1.826, 2.155, 1.840, 2.901, 1.749, 2.013, 1.497, 1.227, 1.428, 1.423, 3.471, 1.806, 2.182",62.77669278625918,7.476834901985557,"7.45, 7.46, 7.50, 7.46, 7.46, 7.50, 7.42, 7.49, 7.47, 7.49, 7.44, 7.49, 7.47, 7.50, 7.51, 7.50, 7.51, 7.43, 7.51, 7.47",2776.140625
Qwen3-1.7B-Q4_K_M.gguf,MMLU,2769,138.45,"104, 178, 222, 257, 83, 148, 186, 94, 104, 196, 119, 97, 189, 91, 136, 146, 99, 94, 101, 125",0.34840806599822827,1.8037784778003698,"1.329, 2.361, 2.998, 3.523, 1.003, 1.961, 2.469, 1.160, 1.241, 2.632, 1.549, 1.229, 2.545, 1.116, 1.765, 1.896, 1.237, 1.157, 1.283, 1.621",77.81066476782163,10.547245488731106,"10.67, 10.80, 10.72, 10.32, 10.59, 10.46, 10.39, 10.54, 10.55, 10.40, 10.50, 10.54, 10.43, 10.60, 10.54, 10.51, 10.61, 10.60, 10.62, 10.58",2558.1875
Qwen3-1.7B-Q4_K_M.gguf,ARC,2088,104.4,"93, 108, 100, 118, 137, 140, 137, 102, 126, 77, 89, 83, 99, 89, 66, 71, 120, 110, 126, 97",-,1.321974790400418,"1.216, 1.376, 1.265, 1.518, 1.810, 1.833, 1.807, 1.274, 1.610, 0.935, 1.100, 1.004, 1.234, 1.100, 0.742, 0.835, 1.552, 1.378, 1.612, 1.238",79.63506259676144,10.602362086692583,"10.61, 10.69, 10.57, 10.61, 10.51, 10.48, 10.51, 10.59, 10.54, 10.60, 10.61, 10.62, 10.56, 10.58, 10.64, 10.97, 10.56, 10.73, 10.54, 10.55",2602.5703125
Qwen3-1.7B-Q4_K_M.gguf,GSM8K,2021,101.05,"104, 66, 97, 75, 151, 96, 82, 109, 144, 100, 100, 104, 107, 97, 92, 134, 93, 97, 68, 105",-,1.2542284992501664,"1.332, 0.756, 1.201, 0.871, 1.960, 1.177, 0.991, 1.364, 1.860, 1.234, 1.236, 1.293, 1.321, 1.202, 1.109, 1.733, 1.137, 1.236, 0.758, 1.315",81.26299718472376,10.583172685243644,"10.59, 10.71, 10.56, 10.57, 10.51, 10.55, 10.66, 10.59, 10.51, 10.59, 10.58, 10.56, 10.58, 10.61, 10.61, 10.50, 10.57, 10.57, 10.67, 10.55",2607.62109375
Qwen3-1.7B-Q4_K_M.gguf,HumanEval,2529,126.45,"149, 140, 110, 144, 142, 117, 137, 118, 137, 125, 167, 107, 127, 97, 84, 93, 95, 197, 113, 130",-,1.5092489430004208,"1.983, 1.644, 1.320, 1.788, 1.676, 1.314, 1.604, 1.334, 1.620, 1.379, 2.135, 1.280, 1.483, 1.111, 0.916, 1.051, 1.054, 2.556, 1.337, 1.599",84.74754920748293,10.594614197573755,"10.48, 10.49, 10.55, 10.53, 10.53, 10.55, 10.57, 10.59, 10.55, 10.60, 10.53, 10.62, 10.62, 10.71, 10.73, 10.71, 10.69, 10.52, 10.67, 10.66",2607.66015625
Qwen3-1.7B-Q3_K_M.gguf,MMLU,2769,138.45,"104, 178, 222, 257, 83, 148, 186, 94, 104, 196, 119, 97, 189, 91, 136, 146, 99, 94, 101, 125",0.7061269280093256,4.326407223947899,"3.185, 5.736, 7.281, 8.531, 2.361, 4.671, 5.998, 2.751, 2.930, 6.372, 3.647, 2.874, 6.127, 2.650, 4.246, 4.598, 2.940, 2.754, 3.016, 3.858",32.58028485906077,8.350459250829818,"8.39, 8.34, 8.39, 8.19, 8.36, 8.32, 8.26, 8.43, 8.36, 8.45, 8.42, 8.36, 8.27, 8.38, 8.32, 8.32, 8.37, 8.37, 8.36, 8.34",1879.9609375
Qwen3-1.7B-Q3_K_M.gguf,ARC,2088,104.4,"93, 108, 100, 118, 137, 140, 137, 102, 126, 77, 89, 83, 99, 89, 66, 71, 120, 110, 126, 97",-,3.1249076781008625,"2.733, 3.261, 2.967, 3.615, 4.284, 4.377, 4.281, 3.032, 3.883, 2.158, 2.579, 2.361, 2.949, 2.576, 1.752, 1.936, 3.687, 3.323, 3.882, 2.863",33.76828613195784,8.284624575660011,"8.37, 7.86, 8.50, 8.33, 8.32, 8.32, 8.12, 8.36, 8.34, 8.52, 7.40, 8.39, 8.50, 8.38, 8.39, 8.16, 7.96, 8.38, 8.56, 8.54",1921.5703125
