Model,Dataset,Max_Tokens,Runs,Model_Load_Time (s),Cold_Start_TTFT (s),TTFT_Mean (s),TTFT_Std (s),Prefill_TPS_Mean,Prefill_TPS_Std,Decode_TPS_Mean,Decode_TPS_Std,Peak_Mem_Mean (MB),Peak_Mem_Std (MB)
Llama-3.2-3B-Instruct-Q5_K_M.gguf,ARC,128,3,39.61,2.3008,3.1581,0.0002,34.378,0.0023,4.4638,0.0014,4893.6,5.5
Llama-3.2-3B-Instruct-Q5_K_M.gguf,HellaSwag,128,3,39.61,2.3008,4.4467,0.0203,31.8872,0.1475,4.4404,0.0424,4900.1,0.7
Llama-3.2-3B-Instruct-Q5_K_M.gguf,TruthfulQA,128,3,39.61,2.3008,1.111,0.0032,51.9256,0.1468,4.4672,0.0174,4901.5,0.0
Llama-3.2-3B-Instruct-Q5_K_M.gguf,GSM8K,128,3,39.61,2.3008,3.4681,0.0156,33.4633,0.1526,4.4652,0.0384,4902.9,0.0
Llama-3.2-3B-Instruct-Q5_K_M.gguf,MMLU,256,3,39.61,2.3008,4.4218,0.0006,31.4213,0.0039,4.3063,0.0039,4904.4,0.0
Llama-3.2-3B-Instruct-Q5_K_M.gguf,ARC,256,3,39.61,2.3008,3.2241,0.0001,33.668,0.0015,4.3101,0.0043,4905.4,0.7
Llama-3.2-3B-Instruct-Q5_K_M.gguf,HellaSwag,256,3,39.61,2.3008,4.5213,0.0012,31.3615,0.012,4.3088,0.007,4906.8,0.7
Llama-3.2-3B-Instruct-Q5_K_M.gguf,TruthfulQA,256,3,39.61,2.3008,1.1357,0.0004,50.7853,0.0175,4.3146,0.0074,4907.8,0.7
Llama-3.2-3B-Instruct-Q5_K_M.gguf,GSM8K,256,3,39.61,2.3008,3.5172,0.0008,32.9929,0.0089,4.3069,0.007,4909.3,0.7
Llama-3.2-3B-Instruct-Q5_K_M.gguf,MMLU,512,3,39.61,2.3008,4.3351,0.0001,32.0576,0.0006,4.4519,0.0089,4910.3,0.0
Llama-3.2-3B-Instruct-Q5_K_M.gguf,ARC,512,3,39.61,2.3008,3.1913,0.0236,34.0161,0.2591,4.3758,0.0529,4911.8,0.0
Llama-3.2-3B-Instruct-Q5_K_M.gguf,HellaSwag,512,3,39.61,2.3008,4.431,0.0006,32.0025,0.007,4.4712,0.0027,4913.3,0.0
Llama-3.2-3B-Instruct-Q5_K_M.gguf,TruthfulQA,512,3,39.61,2.3008,1.107,0.0004,52.1111,0.0146,4.4903,0.0041,4914.7,0.0
Llama-3.2-3B-Instruct-Q5_K_M.gguf,GSM8K,512,3,39.61,2.3008,3.4468,0.0002,33.6696,0.0026,4.467,0.0049,4915.8,0.7
