Model,Dataset,Max_Tokens,Runs,Model_Load_Time (s),Cold_Start_TTFT (s),TTFT_Mean (s),TTFT_Std (s),Prefill_TPS_Mean,Prefill_TPS_Std,Decode_TPS_Mean,Decode_TPS_Std,Peak_Mem_Mean (MB),Peak_Mem_Std (MB)
Qwen3-1.7B-Q5_K_M.gguf,MMLU,256,3,18.21,0.3945,2.2244,0.0003,55.497,0.007,8.6264,0.0113,2925.7,5.5
Qwen3-1.7B-Q5_K_M.gguf,ARC,256,3,18.21,0.3945,1.6043,0.0026,57.7476,0.0331,8.6309,0.0243,2940.4,6.4
Qwen3-1.7B-Q5_K_M.gguf,HellaSwag,256,3,18.21,0.3945,2.2371,0.0024,56.3268,0.0609,8.5647,0.0526,2947.8,0.8
Qwen3-1.7B-Q5_K_M.gguf,TruthfulQA,256,3,18.21,0.3945,0.5693,0.0001,74.2777,0.0165,8.4032,0.0209,2949.0,0.0
Qwen3-1.7B-Q5_K_M.gguf,GSM8K,256,3,18.21,0.3945,1.795,0.0068,56.952,0.2175,8.5256,0.1678,2950.7,0.0
Qwen3-1.7B-Q5_K_M.gguf,MMLU,512,3,18.21,0.3945,2.2241,0.0002,55.502,0.0056,8.3969,0.016,2954.2,0.0
Qwen3-1.7B-Q5_K_M.gguf,ARC,512,3,18.21,0.3945,1.602,0.0001,57.7872,0.0013,8.4499,0.0142,2955.3,0.8
Qwen3-1.7B-Q5_K_M.gguf,HellaSwag,512,3,18.21,0.3945,2.2352,0.0005,56.3779,0.012,8.3822,0.0179,2957.1,0.8
Qwen3-1.7B-Q5_K_M.gguf,TruthfulQA,512,3,18.21,0.3945,0.5612,0.0001,75.3744,0.015,8.5832,0.0321,2958.2,0.8
Qwen3-1.7B-Q5_K_M.gguf,GSM8K,512,3,18.21,0.3945,1.7898,0.0002,57.1193,0.0076,8.42,0.0207,2960.0,0.8
