Model,Dataset,Max_Tokens,Runs,Model_Load_Time (s),Cold_Start_TTFT (s),TTFT_Mean (s),TTFT_Std (s),Prefill_TPS_Mean,Prefill_TPS_Std,Decode_TPS_Mean,Decode_TPS_Std,Peak_Mem_Mean (MB),Peak_Mem_Std (MB)
Qwen3-1.7B-Q5_K_M.gguf,MMLU,128,3,6.73,0.4264,2.2945,0.0087,53.7198,0.2094,7.0288,0.1234,2925.5,5.5
Qwen3-1.7B-Q5_K_M.gguf,ARC,128,3,6.73,0.4264,1.6677,0.0002,55.4386,0.0047,6.8818,0.007,2940.2,6.5
Qwen3-1.7B-Q5_K_M.gguf,HellaSwag,128,3,6.73,0.4264,2.3181,0.0006,54.3293,0.0167,6.8815,0.008,2947.7,0.8
Qwen3-1.7B-Q5_K_M.gguf,TruthfulQA,128,3,6.73,0.4264,0.5945,0.0049,71.0495,0.5863,7.0626,0.1185,2948.8,0.0
Qwen3-1.7B-Q5_K_M.gguf,GSM8K,128,3,6.73,0.4264,1.8432,0.0003,55.4289,0.0082,7.1675,0.0044,2950.6,0.0
